timestamp,fsw_state_state,bmp_data_pressure,bmp_data_temperature,pos_data_abs_altitude,pos_data_rel_altitude,gps_data_is_connected,gps_data_num_fixed_satellites,gps_data_latitude,gps_data_longitude
7279,9,90682.53125,39.64653396606445,1012.9249267578125,819.975830078125,1,15,49.239227294921875,16.557052612304688
7319,9,90662.125,39.6300163269043,1016.293212890625,823.3441162109375,1,15,49.239227294921875,16.557052612304688
7379,9,90614.546875,39.61113739013672,1021.2071533203125,828.258056640625,1,15,49.2392463684082,16.557065963745117
7419,9,90575.46875,39.604061126708984,1024.5040283203125,831.554931640625,1,15,49.2392463684082,16.557065963745117
7459,9,90543.6640625,39.5851821899414,1027.5230712890625,834.573974609375,1,15,49.2392463684082,16.557065963745117
7479,9,90535.6484375,39.57574462890625,1029.252685546875,836.3035888671875,1,15,49.2392463684082,16.557065963745117
7519,9,90497.5546875,39.5733871459961,1032.33837890625,839.3892822265625,1,15,49.2392463684082,16.557065963745117
7559,9,90456.7890625,39.56394577026367,1035.2861328125,842.3370361328125,1,15,49.2392463684082,16.557065963745117
7579,9,90440.2890625,39.5663070678711,1037.1876220703125,844.238525390625,1,15,49.2392807006836,16.557092666625977
7619,9,90404.6171875,39.55215072631836,1040.4781494140625,847.529052734375,1,15,49.2392807006836,16.557092666625977
7759,9,90298.8125,39.5096778869629,1051.2159423828125,858.266845703125,1,15,49.239295959472656,16.55710792541504
7819,9,90248.1015625,39.481361389160156,1055.960693359375,863.0115966796875,1,15,49.239295959472656,16.55710792541504
10919,9,88377.1171875,38.77579879760742,1240.796142578125,1047.8470458984375,1,16,49.239803314208984,16.557527542114258
10939,9,88351.2109375,38.7734375,1241.58154296875,1048.6324462890625,1,16,49.239803314208984,16.557527542114258
10979,9,88341.046875,38.77107620239258,1243.36083984375,1050.4117431640625,1,16,49.23981857299805,16.557540893554688
11019,9,88330.8828125,38.76871871948242,1245.0137939453125,1052.064697265625,1,16,49.23981857299805,16.557540893554688
11059,9,88311.03125,38.766357421875,1246.5008544921875,1053.5517578125,1,16,49.23981857299805,16.557540893554688
11079,9,88312.5,38.76163864135742,1247.3656005859375,1054.41650390625,1,16,49.23981857299805,16.557540893554688
11119,9,88288.5390625,38.756919860839844,1248.9290771484375,1055.97998046875,1,16,49.23981857299805,16.557540893554688
11159,9,88279.078125,38.76399612426758,1250.2689208984375,1057.31982421875,1,16,49.23981857299805,16.557540893554688
11219,9,88256.84375,38.749839782714844,1252.65673828125,1059.7076416015625,1,16,49.23981857299805,16.557540893554688
11279,9,88236.515625,38.7451171875,1254.77978515625,1061.8306884765625,1,14,49.23986053466797,16.55757713317871
11319,9,88225.65625,38.73331832885742,1256.1536865234375,1063.20458984375,1,14,49.23986053466797,16.55757713317871
11359,9,88208.0078125,38.723880767822266,1257.39404296875,1064.4449462890625,1,14,49.23986053466797,16.55757713317871
11379,9,88203.8984375,38.721519470214844,1258.1568603515625,1065.207763671875,1,14,49.23987579345703,16.557588577270508
11419,9,88183.359375,38.709720611572266,1259.5640869140625,1066.614990234375,1,14,49.23987579345703,16.557588577270508
